cbo,wmc,dit
1,1,1
7,7,2
2,1,1
3,1,3
2,1,1
0,1,1
4,16,2
2,7,1
2,1,1
0,1,1
2,1,1
1,1,1
1,1,1
0,1,1
1,3,1
2,1,1
0,5,1
0,1,1
1,1,1
2,1,1
1,1,1
0,1,1
1,1,1
2,1,1
1,1,1
1,1,1
0,1,1
0,1,1
2,1,1
1,1,1
3,1,1
1,2,1
2,1,1
1,1,1
3,1,1
3,1,1
2,1,1
2,1,1
2,1,1
1,1,1
2,1,1
1,1,1
3,1,1
0,1,1
2,1,1
7,11,2
2,1,1
0,1,1
8,13,2
4,6,1
7,2,4
1,1,1
1,1,1
8,14,2
11,18,3
1,1,1
3,1,1
0,1,1
1,1,1
1,1,1
2,1,1
3,4,1
1,1,1
0,2,1
2,1,1
2,1,1
1,1,1
0,2,1
6,2,2
9,27,2
1,1,1
8,4,5
4,7,1
12,21,2
12,13,2
3,2,2
0,2,1
18,51,2
0,1,1
0,1,1
0,1,1
10,36,2
3,2,2
1,1,1
1,1,1
0,3,1
0,1,1
1,2,1
1,1,1
3,4,1
1,1,1
1,1,1
6,8,1
6,7,1
0,4,1
3,1,1
1,1,1
2,1,1
17,22,2
4,2,1
1,1,1
9,4,2
0,1,1
0,1,1
3,1,1
0,1,1
0,2,1
0,1,1
3,1,1
0,1,1
0,2,1
0,1,1
0,1,1
2,3,1
9,3,3
3,1,1
0,1,1
0,2,1
3,1,1
0,2,1
0,1,1
1,2,1
0,1,1
2,1,1
3,1,1
4,2,1
6,2,4
1,1,1
1,4,1
1,1,1
2,1,1
3,1,1
3,17,3
2,1,1
3,1,1
3,1,1
2,1,1
0,1,1
0,6,1
9,27,2
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
5,3,2
0,1,1
0,1,1
3,16,3
0,1,1
1,1,2
0,1,1
6,2,2
1,4,1
5,5,2
5,13,1
0,1,1
0,1,1
0,2,1
0,2,1
0,1,1
0,1,1
0,2,1
0,1,1
0,1,1
1,1,1
8,22,4
2,1,1
3,1,3
2,1,1
0,1,1
1,2,1
2,3,1
1,2,1
2,3,1
2,2,1
2,3,1
2,4,1
17,35,3
12,39,3
0,1,1
0,2,1
0,1,1
0,1,1
0,2,1
0,2,1
0,1,1
8,8,2
1,1,1
2,13,1
0,1,1
7,29,3
0,2,1
7,10,2
0,1,1
8,6,2
4,11,2
